id,vinculo,unidade,iniciativa[SQ001_SQ001],iniciativa[SQ001_SQ004],iniciativa[SQ001_SQ003],iniciativa[SQ001_SQ002],iniciativa[SQ002_SQ001],iniciativa[SQ002_SQ004],iniciativa[SQ002_SQ003],iniciativa[SQ002_SQ002],iniciativa[SQ003_SQ001],iniciativa[SQ003_SQ004],iniciativa[SQ003_SQ003],iniciativa[SQ003_SQ002],iniciativa[SQ004_SQ001],iniciativa[SQ004_SQ004],iniciativa[SQ004_SQ003],iniciativa[SQ004_SQ002],iniciativa[SQ005_SQ001],iniciativa[SQ005_SQ004],iniciativa[SQ005_SQ003],iniciativa[SQ005_SQ002],links[SQ002],links[SQ001],links[SQ004],links[SQ005],links[SQ006],publico[SQ001],publico[SQ003],publicoespecifico[SQ001],publicoespecifico[SQ002],publicoespecifico[SQ003],publicoespecifico[SQ004],publicoespecifico[SQ020],publicoespecifico[SQ019],publicoespecifico[SQ021],publicoespecifico[SQ005],publicoespecifico[SQ006],publicoespecifico[SQ007],publicoespecifico[SQ008],publicoespecifico[SQ009],publicoespecifico[SQ010],publicoespecifico[SQ011],publicoespecifico[SQ012],publicoespecifico[SQ013],publicoespecifico[SQ014],publicoespecifico[SQ015],publicoespecifico[SQ016],publicoespecifico[SQ017],publicoespecifico[SQ018],publicoespecifico[other],dialogo,area[SQ001],area[SQ002],area[SQ003],area[SQ004],area[SQ005],area[SQ006],area[SQ007],area[SQ008],area[SQ009],area[other],areaextensao[SQ001],areaextensao[SQ002],areaextensao[SQ003],areaextensao[SQ004],areaextensao[SQ005],areaextensao[SQ006],areaextensao[SQ007],areaextensao[SQ008],publicoredemuseus,redemuseus[SQ001],redemuseus[SQ002],redemuseus[SQ003],redemuseus[SQ004],redemuseus[SQ005],redemuseus[SQ006],redemuseus[SQ007],redemuseus[SQ008],redemuseus[SQ009],redemuseus[SQ010],redemuseus[SQ011],redemuseus[SQ012],redemuseus[SQ013],redemuseus[SQ014],redemuseus[SQ015],redemuseus[SQ016],redemuseus[SQ017],redemuseus[SQ018],redemuseus[SQ019],redemuseus[SQ020],redemuseus[SQ021],redemuseus[SQ022],redemuseus[SQ023],redemuseus[SQ024],recebepublico,espaco[SQ002],espaco[SQ003],espaco[SQ006],espaco[SQ007],espaco[SQ008],espaco[SQ009],espaco[SQ010],espaco[SQ012],espaco[SQ013],espaco[SQ014],espaco[SQ015],espaco[SQ016],espaco[SQ017],espaco[SQ018],espaco[SQ019],espaco[SQ022],espaco[SQ023],espaco[SQ024],espaco[SQ025],espaco[SQ026],espaco[SQ027],espaco[SQ028],espaco[SQ029],espaco[SQ030],espaco[SQ031],espaco[SQ032],espaco[SQ033],espaco[SQ034],espaco[SQ035],espaco[SQ005],espaco[SQ037],rededc,programas,programaposgrad[SQ002],programaposgrad[SQ003],programaposgrad[SQ004],programaposgrad[SQ005],programaposgrad[SQ006],programaposgrad[SQ007],programaposgrad[SQ008],programaposgrad[SQ009],programaposgrad[SQ010],programaposgrad[SQ011],programaposgrad[SQ012],programaposgrad[SQ013],programaposgrad[SQ014],programaposgrad[SQ015],programaposgrad[SQ016],programaposgrad[SQ017],programaposgrad[SQ018],programaposgrad[SQ019],programaposgrad[SQ020],programaposgrad[SQ021],programaposgrad[SQ022],programaposgrad[SQ023],programaposgrad[SQ024],programaposgrad[SQ025],programaposgrad[SQ026],programaposgrad[SQ027],programaposgrad[SQ028],programaposgrad[SQ029],programaposgrad[SQ030],programaposgrad[SQ031],programaposgrad[SQ032],programaposgrad[SQ033],programaposgrad[SQ034],programaposgrad[SQ035],programaposgrad[SQ036],programaposgrad[SQ037],programaposgrad[SQ038],programaposgrad[SQ039],programaposgrad[SQ040],programaposgrad[SQ041],programaposgrad[SQ042],programaposgrad[SQ043],programaposgrad[SQ044],programaposgrad[SQ045],programaposgrad[SQ046],programaposgrad[SQ047],programaposgrad[SQ048],programaposgrad[SQ049],programaposgrad[SQ050],programaposgrad[SQ051],programaposgrad[SQ052],programaposgrad[SQ053],programaposgrad[SQ054],programaposgrad[SQ055],programaposgrad[SQ056],programaposgrad[SQ057],programaposgrad[SQ058],programaposgrad[SQ059],programaposgrad[SQ060],programaposgrad[SQ061],programaposgrad[SQ062],programaposgrad[SQ063],programaposgrad[SQ090],programaposgrad[SQ089],programaposgrad[SQ064],programaposgrad[SQ065],programaposgrad[SQ066],programaposgrad[SQ067],programaposgrad[SQ068],programaposgrad[SQ069],programaposgrad[SQ070],programaposgrad[SQ071],programaposgrad[SQ072],programaposgrad[SQ073],programaposgrad[SQ074],programaposgrad[SQ075],programaposgrad[SQ076],programaposgrad[SQ077],programaposgrad[SQ078],programaposgrad[SQ079],programaposgrad[SQ080],programaposgrad[SQ081],programaposgrad[SQ082],programaposgrad[SQ083],programaposgrad[SQ084],programaposgrad[SQ085],programaposgrad[SQ086],programaposgrad[SQ087],programaposgrad[SQ088],programaposgrad[other],pesquisa,indicacao[SQ001_SQ001],indicacao[SQ001_SQ002],indicacao[SQ001_SQ003],indicacao[SQ004_SQ001],indicacao[SQ004_SQ002],indicacao[SQ004_SQ003],indicacao[SQ003_SQ001],indicacao[SQ003_SQ002],indicacao[SQ003_SQ003],indicacao[SQ002_SQ001],indicacao[SQ002_SQ002],indicacao[SQ002_SQ003],observacoes,
52,docente,Escola de Ciências da Informação,CINE MUSEU DEBATE,404307,ENSINO/EXTENSÃO,COORDENADOR,"MUSEUS, EDUCAÇÃO, IMAGENS E ORALIDADES",500390,ENSINO/EXTENSÃO,COORDENADOR,OBSERVATÓRIO DO PATRIMÔNIO CULTURAL LGBTQIA+,404413,ENSINO/EXTENSÃO,COORDENADOR,PROCESSOS MUSEAIS NA CIDADE DE BRUMADINHO,303382,ENSINO/EXTENSÃO,COORDENADOR,,,,,,https://tainacan.eci.ufmg.br/meio/,,,,Sim,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SIM,Não,Não,Não,Não,Não,Sim,Não,Não,Não,,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,REDE DE MUSEOLOGIA SOCIAL E MEMÓRIA LGBT,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,MUSASEX (MUSEOLOGIA E SEXUALIDADES),,,,,,,,,,,,,,
53,docente,Escola de Belas-Artes,Bordas da Imagem,404472,Extensão,Coordenador,,,,,,,,,,,,,,,,,,https://bordasdaimagem.wordpress.com/,https://www.instagram.com/bordasdaimagem/,https://www.youtube.com/@bordasdaimagem,não há,Sim,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SIM,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,NFoto - Núcleo de Pesquisa em Fotografia,,,,,,,,,,,,,,
66,docente,Escola de Ciências da Informação,Blog Ana Cecília Digital,Não tem.,"Não, projeto pessoal.",Coordenadora.,,,,,,,,,,,,,,,,,,https://anacecilia.digital/,Não tem.,Não tem.,Em inglês: https://anacecilia.digital/en/,Sim,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SIM,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,"Administração, Gestão, Produtividade ",Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,,,,,,,,,,,,,"Trata-se de um blog pessoal no qual abordo diversos assuntos e nele também faço divulgação científica. Disponibilizo ali textos que escrevi para minhas disciplinas, projetos que participo na universidade, livros, artigos e resultados de pesquisas, etc. O blog é bilíngue (português e inglês) e algumas publicações de divulgação científica que fiz nele geraram contatos ao redor do mundo. O blog não tem seção de comentários, mas as pessoas me escrevem e-mails.",
91,discente de pós-graduação,Faculdade de Filosofia e Ciências Humanas,Criação de site,,Pesquisa,Coordenador,Entrevistas,,Pesquisa,Coordenador,Ilustração,,Pesquisa,Coordenador,,,,,,,,,,https://capitulosdahistorianatural.squarespace.com/,https://www.instagram.com/capitulosdahistorianatural/,,,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,SIM,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rede de pesquisadores nacionais e internacionais,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,,Não,Grupo de Pesquisa Scientia,,,Marina Duarte,,,https://www.instagram.com/scientiaufmg/,,,,,,"O site Capítulos da História Natural é uma iniciativa privada, com o intuito de disponibilizar pequenos perfis sobre nomes da história da ciência do Brasil e do Mundo. Além disso, a proposta é incluir um mapeamento dos principais museus de história natural e, ainda, ter um catálogo de entrevistas com pessoas que contribuam para a área da história e da ciência.",
105,docente,Escola de Enfermagem,Me conta dessa comida,404532,Ensino/Extensão/Pesquisa,Coordenador,,,,,,,,,,,,,,,,,,,@mecontadessacomida,,,Sim,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SIM,Não,Não,Não,Sim,Não,Não,Não,Não,Não,,Não,Não,Não,Sim,Não,Não,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"Sim: Aplicação de framework chamado S-O-R (Stimulus-Organism-Response) que se relaciona ao desdobramento e verificação de cumprimento de metas em estratégias nas mídias sociais. Entende-se que este framework permitirá verificar se os estímulos proporcionados pelas postagens do perfil se desdobram em interações da rede de seguidores e têm como consequência respostas das pessoas, por meio de atitudes e novos comportamentos relacionados a seus hábitos alimentares, os quais serão investigados por meio de entrevistas e grupos focais.",,,,,,,,,,,,,,
109,discente de graduação,Escola de Engenharia,Suporte de Comunicação PROEX,,400001,extensão,colaborador,Desenvolvimento de compósito cimentício com utilização de resíduos,,pesquisa,colaborador,,,,,,,,,,,,,,,https://www.instagram.com/extensaoufmg/,,,Sim,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NÃO,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,,Sim,Não,Não,Não,Não,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,,,,,,,,,,,,,
119,docente,Escola de Enfermagem,Uso de mídia social na difusão científica sobre alimentação e nutrição ,403982,Projeto de Extensão ,Coordenadora,Programa de extensão: Centro Colaborador de Alimentação e Nutrição da Universidade Federal de Minas Gerais (UFMG) - CECAN,500387,Programa de Extensão ,Coordenadora ,Qualificação para implementação das ações de promoção da alimentação adequada é saudável e manejo da obesidade no sistema único de saúde ,403148,Projeto de Extensão ,Coordenadora ,"Capacitação para atividade de ensino, pesquisa e extensão: uma atividade conduzida pelo Grupo de Estudos em Epidemiologia Nutiriconal (GREEN)",402546,"Ensino, pesquisa e extensão ",Coordenadora ,,,,,,,@gin.ufmg ,https://youtu.be/F4rgMne3XAg?si=C-S2h2hoRCgx0Ch_,,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Estudantes de graduação e pós-graduação em Nutrição e outras áreas da saúde ,SIM,Não,Não,Não,Sim,Não,Não,Não,Não,Não,,Não,Não,Não,Não,Não,Sim,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Secretaria Municipal de Saúde, Ministério da Saúde, Prefeitura de Belo Horizonte,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,,Grupo de Pesquisa de Intervenções em Nutrição (GIN/UFMG),,,,,,,,,,,,
120,discente de pós-graduação,Faculdade de Ciências Econômicas,Retratos de Governanças das Águas,,Pesquisa,Subcoordenadora,Webinários,,Extensão,,Mesas de debates,,extensão,,SLAAG,,extensão,,Governança dos Recursos Hídricos,,Pesquisa,,,,,,https://www.researchgate.net/profile/Fernanda-Matos,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,meio ambiente, gestão das águas, membros de organismos colegiados,SIM,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim. Webinários,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,Sim.,,,,,,,,,,,,
128,técnico-administrativo em educação,Pró-Reitoria de Extensão,De Minas para o Mundo: orgulho de viver no Parque Estadual do Rio Doce,403918,Extensão,Co-coordenadora,,,,,,,,,,,,,,,,,,,,,,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,,SIM,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rede Municipal de Educação da cidade de Marliéria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"Projetos Tatu Canastra/ICAS, Projeto Primatas PERDidos/Muriqui Instituto de Biodiversidade, Projeto Bicudos/ONG Waita",Tecnologia de alimentos: o que ela faz por você?,FARMEX: educação em saúde,Liga de Mammalidades Evolutivas: Estendendo o conhecimento para além da universidade,ANDREZA ANGELICA FERREIRA,Daniella Bonaventura,FERNANDO ARAUJO PERINI,https://www.instagram.com/alimentosesaude_ufmg,https://www.instagram.com/farmex_ufmg,https://www.instagram.com/ligameufmg,,,,"Sugiro o lançamento de editais específicos para as atividades de divulgação científica da UFMG, um site dentro do domínio da UFMG para dar visibilidade a essas iniciativas e um evento voltado para essa temática.",
145,docente,Instituto de Ciências Exatas,Visitas no Mundo da Matemática,400424,Extensão,Coordenadora,Quebra-cabeças de Matemática,403266,Extensão,Coordenadora,,,,,,,,,,,,,,www.mat.ufmg.br/visitas, http://qcm.portaldosaber.obmep.org.br/,https://www.geogebra.org/m/epwxkagx, https://www.geogebra.org/m/bebm4tg4,https://www.instagram.com/quebracabecasobmep/, https://www.instagram.com/projetovisitas/,youtube.com/c/projetovisitas,,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,SIM,Sim,Não,Não,Não,Não,Não,Não,Não,Não,,Não,Não,Não,Sim,Não,Não,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Não,Museu de Matemática,,,Fabio Brochero, Carmen Giraldo Vergara,,,,,
176,discente de graduação,Instituto de Ciências Biológicas,,,,,,,,,,,,,,,,,,,,,,,,,,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Não,Não,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,Liga Acadêmica de Microbiologia ,,,Rodrigo Rodrigues,Graciéle Menézes ,Silvia Pedroso,@ligamicroufmg,,,,,,,
